part_oem_number,part_manufacturer,cross_ref_oem_number,cross_ref_manufacturer,cross_ref_type,notes
FF0002129,Hengst,FF0002488,Bosch,oem,Cross-reference for fuel filters
FF0002129,Hengst,OE0051955,Original,oem,Original equipment reference
FF0002269,Mahle,FF0002493,Bosch,replacement,Cross-reference for fuel filters
FF0002269,Mahle,OE0051956,Original,oem,Original equipment reference
FF0002378,Purflux,FF0004872,Bosch,compatible,Cross-reference for fuel filters
FF0002378,Purflux,OE0051957,Purflux,oem,Original equipment reference
FF0002378,Purflux,FF0005672,Knecht,compatible,Cross-reference for fuel filters
FF0002378,Purflux,OE0051958,Purflux,oem,Original equipment reference
FF0002378,Purflux,FF0001162,Hengst,oem,Cross-reference for fuel filters
FF0002378,Purflux,OE0051959,Purflux,oem,Original equipment reference
FF0002488,Bosch,FF0010232,Hengst,oem,Cross-reference for fuel filters
FF0002488,Bosch,OE0051960,Bosch,oem,Original equipment reference
FF0002726,Purflux,FF0008983,Mann-Filter,equivalent,Cross-reference for fuel filters
FF0002726,Purflux,OE0051961,Original,oem,Original equipment reference
FF0002840,Bosch,WK820/18,Mann-Filter,oem,Cross-reference for fuel filters
FF0002840,Bosch,OE0051962,Original,oem,Original equipment reference
FF0002840,Bosch,FF0004742,Knecht,equivalent,Cross-reference for fuel filters
FF0002840,Bosch,OE0051963,Bosch,oem,Original equipment reference
FF0002851,Mann-Filter,FF0004652,Purflux,equivalent,Cross-reference for fuel filters
FF0002851,Mann-Filter,OE0051964,Original,oem,Original equipment reference
FF0002851,Mann-Filter,FF0002107,Purflux,oem,Cross-reference for fuel filters
FF0002851,Mann-Filter,OE0051965,Original,oem,Original equipment reference
FF0002934,Hengst,FF0008983,Mann-Filter,replacement,Cross-reference for fuel filters
FF0002934,Hengst,OE0051966,Hengst,oem,Original equipment reference
FF0002934,Hengst,FF0001170,Purflux,oem,Cross-reference for fuel filters
FF0002934,Hengst,OE0051967,Original,oem,Original equipment reference
FF0002948,Bosch,FF0006461,Knecht,oem,Cross-reference for fuel filters
FF0002948,Bosch,OE0051968,Original,oem,Original equipment reference
FF0002948,Bosch,FF0008817,Mann-Filter,oem,Cross-reference for fuel filters
FF0002948,Bosch,OE0051969,Original,oem,Original equipment reference
FF0002948,Bosch,FF0002482,Purflux,equivalent,Cross-reference for fuel filters
FF0002948,Bosch,OE0051970,Original,oem,Original equipment reference
FF0002950,Bosch,FF0001167,Knecht,oem,Cross-reference for fuel filters
FF0002950,Bosch,OE0051971,Bosch,oem,Original equipment reference
FF0002950,Bosch,FF0005931,Mahle,compatible,Cross-reference for fuel filters
FF0002950,Bosch,OE0051972,Bosch,oem,Original equipment reference
FF0003214,Mahle,FF0005880,Bosch,oem,Cross-reference for fuel filters
FF0003214,Mahle,OE0051973,Original,oem,Original equipment reference
FF0003379,Hengst,FF0009321,Knecht,replacement,Cross-reference for fuel filters
FF0003379,Hengst,OE0051974,Original,oem,Original equipment reference
FF0003412,Mahle,FF0004742,Knecht,oem,Cross-reference for fuel filters
FF0003412,Mahle,OE0051975,Original,oem,Original equipment reference
FF0003412,Mahle,FF0009953,Mann-Filter,equivalent,Cross-reference for fuel filters
FF0003412,Mahle,OE0051976,Mahle,oem,Original equipment reference
FF0003456,Purflux,FF0011296,Bosch,oem,Cross-reference for fuel filters
FF0003456,Purflux,OE0051977,Original,oem,Original equipment reference
FF0003456,Purflux,FF0009290,Knecht,oem,Cross-reference for fuel filters
FF0003456,Purflux,OE0051978,Original,oem,Original equipment reference
FF0003584,Mann-Filter,F026402848,Bosch,replacement,Cross-reference for fuel filters
FF0003584,Mann-Filter,OE0051979,Original,oem,Original equipment reference
FF0003584,Mann-Filter,FF0006083,Purflux,equivalent,Cross-reference for fuel filters
FF0003584,Mann-Filter,OE0051980,Mann-Filter,oem,Original equipment reference
FF0003589,Hengst,FF0008415,Purflux,equivalent,Cross-reference for fuel filters
FF0003589,Hengst,OE0051981,Hengst,oem,Original equipment reference
FF0003750,Mann-Filter,FF0008612,Hengst,compatible,Cross-reference for fuel filters
FF0003750,Mann-Filter,OE0051982,Original,oem,Original equipment reference
FF0003766,Mahle,FF0002515,Bosch,oem,Cross-reference for fuel filters
FF0003766,Mahle,OE0051983,Original,oem,Original equipment reference
FF0003766,Mahle,FF0001159,Hengst,replacement,Cross-reference for fuel filters
FF0003766,Mahle,OE0051984,Original,oem,Original equipment reference
FF0003877,Knecht,FF0007832,Purflux,compatible,Cross-reference for fuel filters
FF0003877,Knecht,OE0051985,Original,oem,Original equipment reference
FF0003877,Knecht,FF0001155,Mann-Filter,oem,Cross-reference for fuel filters
FF0003877,Knecht,OE0051986,Knecht,oem,Original equipment reference
FF0003917,Mann-Filter,FF0004088,Knecht,equivalent,Cross-reference for fuel filters
FF0003917,Mann-Filter,OE0051987,Original,oem,Original equipment reference
FF0003925,Mahle,FF0006083,Purflux,equivalent,Cross-reference for fuel filters
FF0003925,Mahle,OE0051988,Original,oem,Original equipment reference
FF0003925,Mahle,FF0011113,Bosch,equivalent,Cross-reference for fuel filters
FF0003925,Mahle,OE0051989,Mahle,oem,Original equipment reference
FF0003973,Bosch,FF0006871,Mann-Filter,equivalent,Cross-reference for fuel filters
FF0003973,Bosch,OE0051990,Original,oem,Original equipment reference
FF0003973,Bosch,FF0009158,Mahle,oem,Cross-reference for fuel filters
FF0003973,Bosch,OE0051991,Original,oem,Original equipment reference
FF0003992,Mann-Filter,FF0007140,Bosch,oem,Cross-reference for fuel filters
FF0003992,Mann-Filter,OE0051992,Mann-Filter,oem,Original equipment reference
FF0003992,Mann-Filter,FF0009438,Mahle,compatible,Cross-reference for fuel filters
FF0003992,Mann-Filter,OE0051993,Mann-Filter,oem,Original equipment reference
FF0003992,Mann-Filter,FF0006243,Bosch,replacement,Cross-reference for fuel filters
FF0003992,Mann-Filter,OE0051994,Mann-Filter,oem,Original equipment reference
FF0004084,Hengst,FF0007864,Bosch,replacement,Cross-reference for fuel filters
FF0004084,Hengst,OE0051995,Original,oem,Original equipment reference
FF0004084,Hengst,FF0006057,Mahle,equivalent,Cross-reference for fuel filters
FF0004084,Hengst,OE0051996,Hengst,oem,Original equipment reference
FF0004084,Hengst,FF0003182,Purflux,oem,Cross-reference for fuel filters
FF0004084,Hengst,OE0051997,Original,oem,Original equipment reference
FF0004149,Mann-Filter,FF0007140,Bosch,oem,Cross-reference for fuel filters
FF0004149,Mann-Filter,OE0051998,Original,oem,Original equipment reference
FF0004162,Knecht,FF0003214,Mahle,compatible,Cross-reference for fuel filters
FF0004162,Knecht,OE0051999,Knecht,oem,Original equipment reference
FF0004162,Knecht,FF0006061,Hengst,compatible,Cross-reference for fuel filters
FF0004162,Knecht,OE0052000,Knecht,oem,Original equipment reference
FF0004172,Purflux,FF0002455,Hengst,compatible,Cross-reference for fuel filters
FF0004172,Purflux,OE0052001,Purflux,oem,Original equipment reference
FF0004172,Purflux,FF0010989,Mann-Filter,oem,Cross-reference for fuel filters
FF0004172,Purflux,OE0052002,Purflux,oem,Original equipment reference
FF0004205,Mahle,FF0003750,Mann-Filter,replacement,Cross-reference for fuel filters
FF0004205,Mahle,OE0052003,Original,oem,Original equipment reference
FF0004491,Hengst,FF0004172,Purflux,equivalent,Cross-reference for fuel filters
FF0004491,Hengst,OE0052004,Original,oem,Original equipment reference
FF0004491,Hengst,FF0001156,Mann-Filter,equivalent,Cross-reference for fuel filters
FF0004491,Hengst,OE0052005,Hengst,oem,Original equipment reference
FF0004616,Bosch,FF0004840,Knecht,oem,Cross-reference for fuel filters
FF0004616,Bosch,OE0052006,Original,oem,Original equipment reference
FF0004616,Bosch,FF0001158,Mahle,compatible,Cross-reference for fuel filters
FF0004616,Bosch,OE0052007,Original,oem,Original equipment reference
FF0004652,Purflux,WK820/18,Mann-Filter,replacement,Cross-reference for fuel filters
FF0004652,Purflux,OE0052008,Original,oem,Original equipment reference
FF0004652,Purflux,FF0001957,Knecht,oem,Cross-reference for fuel filters
FF0004652,Purflux,OE0052009,Original,oem,Original equipment reference
FF0004652,Purflux,FF0009321,Knecht,compatible,Cross-reference for fuel filters
FF0004652,Purflux,OE0052010,Original,oem,Original equipment reference
FF0004670,Purflux,FF0002488,Bosch,oem,Cross-reference for fuel filters
FF0004670,Purflux,OE0052011,Original,oem,Original equipment reference
FF0004670,Purflux,FF0001152,Bosch,equivalent,Cross-reference for fuel filters
FF0004670,Purflux,OE0052012,Original,oem,Original equipment reference
FF0004720,Mann-Filter,FF0001157,Mahle,oem,Cross-reference for fuel filters
FF0004720,Mann-Filter,OE0052013,Original,oem,Original equipment reference
FF0004742,Knecht,FF0010627,Purflux,equivalent,Cross-reference for fuel filters
FF0004742,Knecht,OE0052014,Knecht,oem,Original equipment reference
FF0004742,Knecht,FF0007042,Bosch,compatible,Cross-reference for fuel filters
FF0004742,Knecht,OE0052015,Knecht,oem,Original equipment reference
FF0004742,Knecht,FF0007347,Mann-Filter,oem,Cross-reference for fuel filters
FF0004742,Knecht,OE0052016,Knecht,oem,Original equipment reference
FF0004840,Knecht,FF0007732,Mahle,equivalent,Cross-reference for fuel filters
FF0004840,Knecht,OE0052017,Knecht,oem,Original equipment reference
FF0004872,Bosch,FF0006871,Mann-Filter,compatible,Cross-reference for fuel filters
FF0004872,Bosch,OE0052018,Original,oem,Original equipment reference
FF0004872,Bosch,FF0001156,Mann-Filter,equivalent,Cross-reference for fuel filters
FF0004872,Bosch,OE0052019,Bosch,oem,Original equipment reference
FF0004999,Hengst,FF0006127,Bosch,oem,Cross-reference for fuel filters
FF0004999,Hengst,OE0052020,Original,oem,Original equipment reference
FF0005086,Hengst,FF0003766,Mahle,equivalent,Cross-reference for fuel filters
FF0005086,Hengst,OE0052021,Original,oem,Original equipment reference
FF0005219,Knecht,FF0010319,Hengst,replacement,Cross-reference for fuel filters
FF0005219,Knecht,OE0052022,Knecht,oem,Original equipment reference
FF0005219,Knecht,FF0006823,Mahle,oem,Cross-reference for fuel filters
FF0005219,Knecht,OE0052023,Original,oem,Original equipment reference
FF0005262,Bosch,FF0009967,Hengst,compatible,Cross-reference for fuel filters
FF0005262,Bosch,OE0052024,Original,oem,Original equipment reference
FF0005262,Bosch,FF0009317,Hengst,replacement,Cross-reference for fuel filters
FF0005262,Bosch,OE0052025,Original,oem,Original equipment reference
FF0005262,Bosch,FF0009724,Hengst,compatible,Cross-reference for fuel filters
FF0005262,Bosch,OE0052026,Bosch,oem,Original equipment reference
FF0005279,Hengst,FF0003114,Mann-Filter,oem,Cross-reference for fuel filters
FF0005279,Hengst,OE0052027,Original,oem,Original equipment reference
FF0005394,Purflux,FF0007048,Knecht,compatible,Cross-reference for fuel filters
FF0005394,Purflux,OE0052028,Original,oem,Original equipment reference
FF0005394,Purflux,FF0005931,Mahle,oem,Cross-reference for fuel filters
FF0005394,Purflux,OE0052029,Original,oem,Original equipment reference
FF0005394,Purflux,FF0011209,Hengst,oem,Cross-reference for fuel filters
FF0005394,Purflux,OE0052030,Purflux,oem,Original equipment reference
FF0005427,Purflux,FF0005672,Knecht,oem,Cross-reference for fuel filters
FF0005427,Purflux,OE0052031,Purflux,oem,Original equipment reference
FF0005427,Purflux,FF0004084,Hengst,equivalent,Cross-reference for fuel filters
FF0005427,Purflux,OE0052032,Purflux,oem,Original equipment reference
FF0005434,Hengst,FF0009953,Mann-Filter,replacement,Cross-reference for fuel filters
FF0005434,Hengst,OE0052033,Hengst,oem,Original equipment reference
FF0005470,Mahle,FF0004172,Purflux,oem,Cross-reference for fuel filters
FF0005470,Mahle,OE0052034,Mahle,oem,Original equipment reference
FF0005470,Mahle,FF0011168,Purflux,compatible,Cross-reference for fuel filters
FF0005470,Mahle,OE0052035,Original,oem,Original equipment reference
FF0005470,Mahle,FF0002851,Mann-Filter,replacement,Cross-reference for fuel filters
FF0005470,Mahle,OE0052036,Mahle,oem,Original equipment reference
FF0005506,Hengst,FF0003182,Purflux,compatible,Cross-reference for fuel filters
FF0005506,Hengst,OE0052037,Hengst,oem,Original equipment reference
FF0005506,Hengst,FF0003973,Bosch,oem,Cross-reference for fuel filters
FF0005506,Hengst,OE0052038,Hengst,oem,Original equipment reference
FF0005506,Hengst,FF0006057,Mahle,equivalent,Cross-reference for fuel filters
FF0005506,Hengst,OE0052039,Original,oem,Original equipment reference
FF0005553,Mann-Filter,FF0010422,Mahle,oem,Cross-reference for fuel filters
FF0005553,Mann-Filter,OE0052040,Mann-Filter,oem,Original equipment reference
FF0005553,Mann-Filter,FF0011168,Purflux,equivalent,Cross-reference for fuel filters
FF0005553,Mann-Filter,OE0052041,Original,oem,Original equipment reference
FF0005676,Purflux,FF0010739,Hengst,compatible,Cross-reference for fuel filters
FF0005676,Purflux,OE0052042,Original,oem,Original equipment reference
FF0005877,Mahle,FF0006983,Knecht,compatible,Cross-reference for fuel filters
FF0005877,Mahle,OE0052043,Mahle,oem,Original equipment reference
FF0005877,Mahle,FF0004162,Knecht,equivalent,Cross-reference for fuel filters
FF0005877,Mahle,OE0052044,Mahle,oem,Original equipment reference
FF0005935,Purflux,FF0002851,Mann-Filter,oem,Cross-reference for fuel filters
FF0005935,Purflux,OE0052045,Purflux,oem,Original equipment reference
FF0005935,Purflux,FF0002488,Bosch,replacement,Cross-reference for fuel filters
FF0005935,Purflux,OE0052046,Purflux,oem,Original equipment reference
FF0005935,Purflux,FF0001154,Mann-Filter,compatible,Cross-reference for fuel filters
FF0005935,Purflux,OE0052047,Original,oem,Original equipment reference
FF0005976,Hengst,28343734,Delphi,equivalent,Cross-reference for fuel filters
FF0005976,Hengst,OE0052048,Hengst,oem,Original equipment reference
FF0005976,Hengst,FF0010989,Mann-Filter,replacement,Cross-reference for fuel filters
FF0005976,Hengst,OE0052049,Original,oem,Original equipment reference
FF0006001,Hengst,FF0007341,Mahle,replacement,Cross-reference for fuel filters
FF0006001,Hengst,OE0052050,Hengst,oem,Original equipment reference
FF0006057,Mahle,F026402848,Bosch,compatible,Cross-reference for fuel filters
FF0006057,Mahle,OE0052051,Original,oem,Original equipment reference
FF0006057,Mahle,FF0009333,Purflux,equivalent,Cross-reference for fuel filters
FF0006057,Mahle,OE0052052,Original,oem,Original equipment reference
FF0006061,Hengst,FF0005676,Purflux,compatible,Cross-reference for fuel filters
FF0006061,Hengst,OE0052053,Hengst,oem,Original equipment reference
FF0006061,Hengst,FF0011290,Mahle,equivalent,Cross-reference for fuel filters
FF0006061,Hengst,OE0052054,Original,oem,Original equipment reference
FF0006083,Purflux,FF0011113,Bosch,compatible,Cross-reference for fuel filters
FF0006083,Purflux,OE0052055,Purflux,oem,Original equipment reference
FF0006083,Purflux,FF0010739,Hengst,oem,Cross-reference for fuel filters
FF0006083,Purflux,OE0052056,Original,oem,Original equipment reference
FF0006243,Bosch,FF0010909,Purflux,compatible,Cross-reference for fuel filters
FF0006243,Bosch,OE0052057,Bosch,oem,Original equipment reference
FF0006262,Purflux,FF0006057,Mahle,replacement,Cross-reference for fuel filters
FF0006262,Purflux,OE0052058,Purflux,oem,Original equipment reference
FF0006262,Purflux,FF0006720,Hengst,replacement,Cross-reference for fuel filters
FF0006262,Purflux,OE0052059,Original,oem,Original equipment reference
FF0006461,Knecht,FF0004720,Mann-Filter,compatible,Cross-reference for fuel filters
FF0006461,Knecht,OE0052060,Knecht,oem,Original equipment reference
FF0006650,Hengst,FF0007832,Purflux,equivalent,Cross-reference for fuel filters
FF0006650,Hengst,OE0052061,Original,oem,Original equipment reference
FF0006650,Hengst,FF0001155,Mann-Filter,replacement,Cross-reference for fuel filters
FF0006650,Hengst,OE0052062,Hengst,oem,Original equipment reference
FF0006684,Hengst,FF0001158,Mahle,replacement,Cross-reference for fuel filters
FF0006684,Hengst,OE0052063,Original,oem,Original equipment reference
FF0006720,Hengst,F026402848,Bosch,compatible,Cross-reference for fuel filters
FF0006720,Hengst,OE0052064,Original,oem,Original equipment reference
FF0006823,Mahle,FF0008907,Mann-Filter,equivalent,Cross-reference for fuel filters
FF0006823,Mahle,OE0052065,Original,oem,Original equipment reference
FF0006823,Mahle,FF0003182,Purflux,equivalent,Cross-reference for fuel filters
FF0006823,Mahle,OE0052066,Original,oem,Original equipment reference
FF0006823,Mahle,FF0005676,Purflux,oem,Cross-reference for fuel filters
FF0006823,Mahle,OE0052067,Original,oem,Original equipment reference
FF0006871,Mann-Filter,FF0002269,Mahle,oem,Cross-reference for fuel filters
FF0006871,Mann-Filter,OE0052068,Mann-Filter,oem,Original equipment reference
FF0006871,Mann-Filter,FF0005189,Mahle,equivalent,Cross-reference for fuel filters
FF0006871,Mann-Filter,OE0052069,Mann-Filter,oem,Original equipment reference
FF0006882,Mahle,FF0011360,Bosch,oem,Cross-reference for fuel filters
FF0006882,Mahle,OE0052070,Original,oem,Original equipment reference
FF0006952,Mahle,FF0004872,Bosch,oem,Cross-reference for fuel filters
FF0006952,Mahle,OE0052071,Mahle,oem,Original equipment reference
FF0006959,Mahle,FF0004652,Purflux,compatible,Cross-reference for fuel filters
FF0006959,Mahle,OE0052072,Original,oem,Original equipment reference
FF0006959,Mahle,FF0006243,Bosch,oem,Cross-reference for fuel filters
FF0006959,Mahle,OE0052073,Mahle,oem,Original equipment reference
FF0006959,Mahle,FF0005279,Hengst,oem,Cross-reference for fuel filters
FF0006959,Mahle,OE0052074,Original,oem,Original equipment reference
FF0007027,Knecht,FF0002488,Bosch,equivalent,Cross-reference for fuel filters
FF0007027,Knecht,OE0052075,Knecht,oem,Original equipment reference
FF0007027,Knecht,FF0006057,Mahle,replacement,Cross-reference for fuel filters
FF0007027,Knecht,OE0052076,Original,oem,Original equipment reference
FF0007027,Knecht,FF0005189,Mahle,oem,Cross-reference for fuel filters
FF0007027,Knecht,OE0052077,Knecht,oem,Original equipment reference
FF0007048,Knecht,FF0003925,Mahle,replacement,Cross-reference for fuel filters
FF0007048,Knecht,OE0052078,Knecht,oem,Original equipment reference
FF0007048,Knecht,FF0010989,Mann-Filter,oem,Cross-reference for fuel filters
FF0007048,Knecht,OE0052079,Knecht,oem,Original equipment reference
FF0007048,Knecht,FF0009953,Mann-Filter,equivalent,Cross-reference for fuel filters
FF0007048,Knecht,OE0052080,Knecht,oem,Original equipment reference
FF0007083,Mann-Filter,FF0006083,Purflux,compatible,Cross-reference for fuel filters
FF0007083,Mann-Filter,OE0052081,Mann-Filter,oem,Original equipment reference
FF0007083,Mann-Filter,FF0008167,Hengst,compatible,Cross-reference for fuel filters
FF0007083,Mann-Filter,OE0052082,Original,oem,Original equipment reference
FF0007103,Knecht,FF0002948,Bosch,replacement,Cross-reference for fuel filters
FF0007103,Knecht,OE0052083,Knecht,oem,Original equipment reference
FF0007103,Knecht,FF0002493,Bosch,replacement,Cross-reference for fuel filters
FF0007103,Knecht,OE0052084,Original,oem,Original equipment reference
FF0007103,Knecht,FF0010319,Hengst,oem,Cross-reference for fuel filters
FF0007103,Knecht,OE0052085,Original,oem,Original equipment reference
FF0007140,Bosch,FF0006983,Knecht,oem,Cross-reference for fuel filters
FF0007140,Bosch,OE0052086,Original,oem,Original equipment reference
FF0007140,Bosch,FF0004084,Hengst,oem,Cross-reference for fuel filters
FF0007140,Bosch,OE0052087,Original,oem,Original equipment reference
FF0007175,Mahle,FF0007800,Hengst,equivalent,Cross-reference for fuel filters
FF0007175,Mahle,OE0052088,Mahle,oem,Original equipment reference
FF0007304,Bosch,FF0010319,Hengst,compatible,Cross-reference for fuel filters
FF0007304,Bosch,OE0052089,Bosch,oem,Original equipment reference
FF0007304,Bosch,FF0004172,Purflux,replacement,Cross-reference for fuel filters
FF0007304,Bosch,OE0052090,Original,oem,Original equipment reference
FF0007304,Bosch,FF0002851,Mann-Filter,replacement,Cross-reference for fuel filters
FF0007304,Bosch,OE0052091,Original,oem,Original equipment reference
FF0007308,Purflux,FF0006952,Mahle,compatible,Cross-reference for fuel filters
FF0007308,Purflux,OE0052092,Original,oem,Original equipment reference
FF0007324,Mahle,FF0009395,Knecht,replacement,Cross-reference for fuel filters
FF0007324,Mahle,OE0052093,Mahle,oem,Original equipment reference
FF0007356,Hengst,FF0007324,Mahle,compatible,Cross-reference for fuel filters
FF0007356,Hengst,OE0052094,Hengst,oem,Original equipment reference
FF0007509,Mahle,FF0004004,Knecht,equivalent,Cross-reference for fuel filters
FF0007509,Mahle,OE0052095,Mahle,oem,Original equipment reference
FF0007509,Mahle,FF0002107,Purflux,compatible,Cross-reference for fuel filters
FF0007509,Mahle,OE0052096,Original,oem,Original equipment reference
FF0007684,Mann-Filter,FF0009395,Knecht,compatible,Cross-reference for fuel filters
FF0007684,Mann-Filter,OE0052097,Mann-Filter,oem,Original equipment reference
FF0007684,Mann-Filter,FF0009110,Knecht,replacement,Cross-reference for fuel filters
FF0007684,Mann-Filter,OE0052098,Original,oem,Original equipment reference
FF0007732,Mahle,FF0001166,Knecht,equivalent,Cross-reference for fuel filters
FF0007732,Mahle,OE0052099,Mahle,oem,Original equipment reference
FF0007732,Mahle,FF0008822,Hengst,compatible,Cross-reference for fuel filters
FF0007732,Mahle,OE0052100,Original,oem,Original equipment reference
FF0007732,Mahle,FF0005553,Mann-Filter,oem,Cross-reference for fuel filters
FF0007732,Mahle,OE0052101,Original,oem,Original equipment reference
FF0007774,Knecht,FF0007324,Mahle,compatible,Cross-reference for fuel filters
FF0007774,Knecht,OE0052102,Original,oem,Original equipment reference
FF0007774,Knecht,FF0008347,Mann-Filter,equivalent,Cross-reference for fuel filters
FF0007774,Knecht,OE0052103,Knecht,oem,Original equipment reference
FF0007774,Knecht,FF0009038,Mann-Filter,replacement,Cross-reference for fuel filters
FF0007774,Knecht,OE0052104,Original,oem,Original equipment reference
FF0007789,Bosch,FF0003805,Mann-Filter,compatible,Cross-reference for fuel filters
FF0007789,Bosch,OE0052105,Bosch,oem,Original equipment reference
FF0007800,Hengst,FF0006823,Mahle,replacement,Cross-reference for fuel filters
FF0007800,Hengst,OE0052106,Hengst,oem,Original equipment reference
FF0007800,Hengst,FF0005676,Purflux,replacement,Cross-reference for fuel filters
FF0007800,Hengst,OE0052107,Original,oem,Original equipment reference
FF0007808,Bosch,FF0007083,Mann-Filter,oem,Cross-reference for fuel filters
FF0007808,Bosch,OE0052108,Original,oem,Original equipment reference
FF0007808,Bosch,FF0005672,Knecht,equivalent,Cross-reference for fuel filters
FF0007808,Bosch,OE0052109,Original,oem,Original equipment reference
FF0007959,Purflux,FF0007083,Mann-Filter,replacement,Cross-reference for fuel filters
FF0007959,Purflux,OE0052110,Original,oem,Original equipment reference
FF0008167,Hengst,FF0004742,Knecht,compatible,Cross-reference for fuel filters
FF0008167,Hengst,OE0052111,Original,oem,Original equipment reference
FF0008167,Hengst,FF0001957,Knecht,equivalent,Cross-reference for fuel filters
FF0008167,Hengst,OE0052112,Hengst,oem,Original equipment reference
FF0008181,Bosch,FF0006083,Purflux,equivalent,Cross-reference for fuel filters
FF0008181,Bosch,OE0052113,Bosch,oem,Original equipment reference
FF0008183,Bosch,FF0010667,Hengst,equivalent,Cross-reference for fuel filters
FF0008183,Bosch,OE0052114,Bosch,oem,Original equipment reference
FF0008183,Bosch,FF0003366,Mahle,oem,Cross-reference for fuel filters
FF0008183,Bosch,OE0052115,Original,oem,Original equipment reference
FF0008415,Purflux,FF0001957,Knecht,equivalent,Cross-reference for fuel filters
FF0008415,Purflux,OE0052116,Original,oem,Original equipment reference
FF0008599,Mahle,FF0006203,Mann-Filter,replacement,Cross-reference for fuel filters
FF0008599,Mahle,OE0052117,Original,oem,Original equipment reference
FF0008599,Mahle,FF0007789,Bosch,oem,Cross-reference for fuel filters
FF0008599,Mahle,OE0052118,Mahle,oem,Original equipment reference
FF0008599,Mahle,FF0009150,Mann-Filter,equivalent,Cross-reference for fuel filters
FF0008599,Mahle,OE0052119,Mahle,oem,Original equipment reference
FF0008645,Mahle,FF0004840,Knecht,equivalent,Cross-reference for fuel filters
FF0008645,Mahle,OE0052120,Mahle,oem,Original equipment reference
FF0008645,Mahle,FF0002948,Bosch,equivalent,Cross-reference for fuel filters
FF0008645,Mahle,OE0052121,Mahle,oem,Original equipment reference
FF0008907,Mann-Filter,FF0009438,Mahle,compatible,Cross-reference for fuel filters
FF0008907,Mann-Filter,OE0052122,Mann-Filter,oem,Original equipment reference
FF0008907,Mann-Filter,FF0001947,Mahle,oem,Cross-reference for fuel filters
FF0008907,Mann-Filter,OE0052123,Mann-Filter,oem,Original equipment reference
FF0008907,Mann-Filter,FF0007832,Purflux,oem,Cross-reference for fuel filters
FF0008907,Mann-Filter,OE0052124,Original,oem,Original equipment reference
FF0008983,Mann-Filter,FF0004131,Bosch,oem,Cross-reference for fuel filters
FF0008983,Mann-Filter,OE0052125,Original,oem,Original equipment reference
FF0008991,Mahle,FF0009395,Knecht,equivalent,Cross-reference for fuel filters
FF0008991,Mahle,OE0052126,Original,oem,Original equipment reference
FF0008991,Mahle,FF0010989,Mann-Filter,oem,Cross-reference for fuel filters
FF0008991,Mahle,OE0052127,Mahle,oem,Original equipment reference
FF0008999,Mahle,FF0003114,Mann-Filter,equivalent,Cross-reference for fuel filters
FF0008999,Mahle,OE0052128,Original,oem,Original equipment reference
FF0009110,Knecht,FF0004172,Purflux,equivalent,Cross-reference for fuel filters
FF0009110,Knecht,OE0052129,Original,oem,Original equipment reference
FF0009110,Knecht,FF0005756,Mann-Filter,equivalent,Cross-reference for fuel filters
FF0009110,Knecht,OE0052130,Original,oem,Original equipment reference
FF0009206,Bosch,FF0010905,Knecht,compatible,Cross-reference for fuel filters
FF0009206,Bosch,OE0052131,Original,oem,Original equipment reference
FF0009206,Bosch,FF0004149,Mann-Filter,equivalent,Cross-reference for fuel filters
FF0009206,Bosch,OE0052132,Original,oem,Original equipment reference
FF0009225,Mann-Filter,FF0002273,Purflux,compatible,Cross-reference for fuel filters
FF0009225,Mann-Filter,OE0052133,Original,oem,Original equipment reference
FF0009237,Knecht,KL756,Mahle,equivalent,Cross-reference for fuel filters
FF0009237,Knecht,OE0052134,Knecht,oem,Original equipment reference
FF0009237,Knecht,FF0007324,Mahle,replacement,Cross-reference for fuel filters
FF0009237,Knecht,OE0052135,Knecht,oem,Original equipment reference
FF0009290,Knecht,FF0006262,Purflux,replacement,Cross-reference for fuel filters
FF0009290,Knecht,OE0052136,Original,oem,Original equipment reference
FF0009317,Hengst,FF0010660,Purflux,replacement,Cross-reference for fuel filters
FF0009317,Hengst,OE0052137,Hengst,oem,Original equipment reference
FF0009321,Knecht,FF0009206,Bosch,oem,Cross-reference for fuel filters
FF0009321,Knecht,OE0052138,Knecht,oem,Original equipment reference
FF0009321,Knecht,FF0009382,Mann-Filter,oem,Cross-reference for fuel filters
FF0009321,Knecht,OE0052139,Knecht,oem,Original equipment reference
FF0009333,Purflux,FF0004088,Knecht,compatible,Cross-reference for fuel filters
FF0009333,Purflux,OE0052140,Purflux,oem,Original equipment reference
FF0009382,Mann-Filter,FF0004088,Knecht,oem,Cross-reference for fuel filters
FF0009382,Mann-Filter,OE0052141,Mann-Filter,oem,Original equipment reference
FF0009382,Mann-Filter,FF0005164,Mahle,replacement,Cross-reference for fuel filters
FF0009382,Mann-Filter,OE0052142,Mann-Filter,oem,Original equipment reference
FF0009438,Mahle,FF0003456,Purflux,oem,Cross-reference for fuel filters
FF0009438,Mahle,OE0052143,Original,oem,Original equipment reference
FF0009438,Mahle,FF0005935,Purflux,compatible,Cross-reference for fuel filters
FF0009438,Mahle,OE0052144,Original,oem,Original equipment reference
FF0009538,Purflux,FF0003584,Mann-Filter,replacement,Cross-reference for fuel filters
FF0009538,Purflux,OE0052145,Original,oem,Original equipment reference
FF0009724,Hengst,FF0008645,Mahle,replacement,Cross-reference for fuel filters
FF0009724,Hengst,OE0052146,Original,oem,Original equipment reference
